latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
32.151,-101.932,302.1,2.8,1.6,2018-11-10,0420,T,47,6.0NRT,274.2,43.9,N
32.154,-101.939,303,2.8,1.6,2018-11-10,0420,T,53,6.0NRT,274.1,46.1,N
18.089,-94.05,306.1,1.6,1.2,2018-11-10,0415,T,67,6.0NRT,293.2,10.8,N
19.298,-92.173,307.5,1.2,1.1,2018-11-10,0415,T,55,6.0NRT,295,5.7,N
19.391,-92.042,320.1,1.1,1.1,2018-11-10,0415,T,100,6.0NRT,295.6,17.4,N
19.389,-92.052,308.3,1.1,1.1,2018-11-10,0415,T,60,6.0NRT,295.4,5.9,N
19.4,-92.043,307.5,1.1,1.1,2018-11-10,0415,T,55,6.0NRT,295.5,5.1,N
19.564,-92.239,333.7,1.2,1.1,2018-11-10,0415,T,100,6.0NRT,296.2,37.9,N
19.569,-92.235,326.8,1.2,1.1,2018-11-10,0415,T,100,6.0NRT,296.3,27.5,N
19.567,-92.246,318.7,1.2,1.1,2018-11-10,0415,T,97,6.0NRT,296.1,17.2,N
19.599,-92.296,309.7,1.2,1.1,2018-11-10,0415,T,68,6.0NRT,296.1,7.6,N
34.006,-118.816,322.9,1,1,2018-11-10,0600,T,100,6.0NRT,291.9,20.6,N
34.03,-118.721,346.4,1,1,2018-11-10,0600,T,100,6.0NRT,294.6,53.3,N
34.028,-118.732,350.5,1,1,2018-11-10,0600,T,100,6.0NRT,291,60.5,N
34.027,-118.743,323.8,1,1,2018-11-10,0600,T,51,6.0NRT,286.6,19.3,N
34.017,-118.807,371.5,1,1,2018-11-10,0600,T,100,6.0NRT,298,121.9,N
34.015,-118.818,328.3,1,1,2018-11-10,0600,T,100,6.0NRT,291.9,26.8,N
34.039,-118.723,500,1,1,2018-11-10,0600,T,100,6.0NRT,341,1620,N
34.037,-118.734,500,1,1,2018-11-10,0600,T,100,6.0NRT,365.1,1620.5,N
34.036,-118.744,416.1,1,1,2018-11-10,0600,T,100,6.0NRT,302.7,365.4,N
34.032,-118.766,320.3,1,1,2018-11-10,0600,T,59,6.0NRT,288.8,16.4,N
34.029,-118.787,331.6,1,1,2018-11-10,0600,T,100,6.0NRT,291.5,29.4,N
34.028,-118.798,328,1,1,2018-11-10,0600,T,100,6.0NRT,291.7,24.9,N
34.026,-118.809,328.1,1,1,2018-11-10,0600,T,100,6.0NRT,291.8,25.4,N
34.024,-118.82,327.2,1,1,2018-11-10,0600,T,100,6.0NRT,292.3,24.3,N
34.049,-118.714,322.8,1,1,2018-11-10,0600,T,97,6.0NRT,289.4,16.9,N
34.048,-118.725,407,1,1,2018-11-10,0600,T,100,6.0NRT,304.5,295.6,N
34.046,-118.736,447.1,1,1,2018-11-10,0600,T,100,6.0NRT,313.3,677.9,N
34.044,-118.746,390,1,1,2018-11-10,0600,T,100,6.0NRT,296.1,197.8,N
34.043,-118.757,329,1,1,2018-11-10,0600,T,100,6.0NRT,288.7,25.4,N
34.041,-118.768,324.7,1,1,2018-11-10,0600,T,92,6.0NRT,289.3,19.7,N
34.038,-118.789,316,1,1,2018-11-10,0600,T,70,6.0NRT,290.4,12.5,N
34.036,-118.8,306.8,1,1,2018-11-10,0600,T,69,6.0NRT,289.7,6.7,N
34.035,-118.811,300.5,1,1,2018-11-10,0600,T,15,6.0NRT,289.3,3.2,N
34.033,-118.822,326.2,1,1,2018-11-10,0600,T,100,6.0NRT,292.6,23.4,N
34.058,-118.716,452.9,1,1,2018-11-10,0600,T,100,6.0NRT,310.4,752.1,N
34.057,-118.727,500,1,1,2018-11-10,0600,T,100,6.0NRT,320.9,1617.6,N
34.055,-118.737,384.7,1,1,2018-11-10,0600,T,100,6.0NRT,295.7,170.2,N
34.053,-118.748,354.6,1,1,2018-11-10,0600,T,100,6.0NRT,291.1,70.3,N
34.052,-118.759,325.6,1,1,2018-11-10,0600,T,97,6.0NRT,288.4,20.5,N
34.05,-118.77,315.6,1,1,2018-11-10,0600,T,21,6.0NRT,289.1,10.4,N
34.067,-118.718,455,1,1,2018-11-10,0600,T,100,6.0NRT,315.8,781.5,N
34.065,-118.729,500,1,1,2018-11-10,0600,T,100,6.0NRT,332,1618.3,N
34.064,-118.739,381.5,1,1,2018-11-10,0600,T,100,6.0NRT,295.2,157,N
34.062,-118.75,340.6,1,1,2018-11-10,0600,T,100,6.0NRT,289.8,41.9,N
34.061,-118.761,325.3,1,1,2018-11-10,0600,T,82,6.0NRT,288.2,19.9,N
34.046,-118.858,300,1,1,2018-11-10,0600,T,5,6.0NRT,289.4,3.5,N
34.041,-118.89,326.3,1,1,2018-11-10,0600,T,100,6.0NRT,291.3,25.1,N
34.076,-118.72,500,1,1,2018-11-10,0600,T,100,6.0NRT,352.9,1617.9,N
34.074,-118.73,468.2,1,1,2018-11-10,0600,T,100,6.0NRT,329.5,981.4,N
34.073,-118.741,339.3,1,1,2018-11-10,0600,T,100,6.0NRT,291.9,38.2,N
34.071,-118.752,323,1,1,2018-11-10,0600,T,100,6.0NRT,288.5,17.9,N
34.086,-118.711,323.5,1,1,2018-11-10,0600,T,58,6.0NRT,288.6,18.5,N
34.085,-118.722,400.6,1,1,2018-11-10,0600,T,100,6.0NRT,303.5,255.8,N
34.083,-118.732,342.6,1,1,2018-11-10,0600,T,100,6.0NRT,292.3,44.2,N
34.095,-118.713,319.4,1,1,2018-11-10,0600,T,55,6.0NRT,284.8,15.4,N
34.104,-118.715,309.2,1,1,2018-11-10,0600,T,13,6.0NRT,283.7,8.1,N
34.119,-118.68,328.5,1,1,2018-11-10,0600,T,100,6.0NRT,286.2,29,N
34.118,-118.691,332.7,1,1,2018-11-10,0600,T,100,6.0NRT,286.8,34.4,N
34.114,-118.712,347.8,1,1,2018-11-10,0600,T,100,6.0NRT,293,60.4,N
34.113,-118.723,313.6,1,1,2018-11-10,0600,T,57,6.0NRT,288,13.1,N
34.123,-118.714,402.6,1,1,2018-11-10,0600,T,100,6.0NRT,298.4,273.9,N
34.122,-118.725,359.7,1,1,2018-11-10,0600,T,100,6.0NRT,291.1,88,N
34.088,-118.951,326.6,1,1,2018-11-10,0600,T,100,6.0NRT,294.3,24.4,N
34.086,-118.962,330,1,1,2018-11-10,0600,T,77,6.0NRT,295,27.7,N
34.085,-118.973,333.2,1,1,2018-11-10,0600,T,62,6.0NRT,293.4,31.7,N
34.083,-118.984,342.7,1,1,2018-11-10,0600,T,100,6.0NRT,294.1,48.2,N
34.132,-118.716,324.8,1,1,2018-11-10,0600,T,100,6.0NRT,283,24.9,N
34.131,-118.727,327.4,1,1,2018-11-10,0600,T,100,6.0NRT,284.2,28.1,N
34.111,-118.856,301.7,1,1,2018-11-10,0600,T,30,6.0NRT,285.2,5.8,N
34.11,-118.867,308.1,1,1,2018-11-10,0600,T,72,6.0NRT,285.5,9.8,N
34.1,-118.931,343.6,1,1,2018-11-10,0600,T,100,6.0NRT,295.4,50.9,N
34.098,-118.942,330,1,1,2018-11-10,0600,T,100,6.0NRT,292.1,28.9,N
34.097,-118.953,323.5,1,1,2018-11-10,0600,T,100,6.0NRT,290,21.9,N
34.09,-118.997,304.4,1,1,2018-11-10,0600,T,17,6.0NRT,286.8,6.5,N
34.149,-118.664,306.1,1,1,2018-11-10,0600,T,67,6.0NRT,282.6,10.1,N
34.147,-118.675,322,1,1,2018-11-10,0600,T,100,6.0NRT,282.7,22.8,N
34.123,-118.836,331.9,1,1,2018-11-10,0600,T,100,6.0NRT,290.1,33.8,N
34.109,-118.933,334.4,1,1,2018-11-10,0600,T,100,6.0NRT,289.2,36.6,N
34.107,-118.944,331.9,1,1,2018-11-10,0600,T,100,6.0NRT,289,32.4,N
34.195,-118.663,310.7,1,1,2018-11-10,0600,T,47,6.0NRT,284.1,11.6,N
34.204,-118.665,324.1,1,1,2018-11-10,0600,T,100,6.0NRT,287.6,23.5,N
34.214,-118.662,302.2,1,1,2018-11-10,0600,T,27,6.0NRT,285.3,6.7,N
34.233,-118.655,333.3,1,1,2018-11-10,0600,T,100,6.0NRT,288.7,34.7,N
34.232,-118.666,334.9,1,1,2018-11-10,0600,T,100,6.0NRT,288.9,36.9,N
34.238,-118.689,315,1,1,2018-11-10,0600,T,90,6.0NRT,283.3,16.2,N
34.236,-118.7,311.2,1,1,2018-11-10,0600,T,82,6.0NRT,282.1,13.3,N
36.209,-118.579,327.1,1,1,2018-11-10,0600,T,72,6.0NRT,277.7,28.6,N
36.221,-118.559,300.3,1,1,2018-11-10,0600,T,8,6.0NRT,274.7,7.8,N
36.22,-118.57,327.1,1,1,2018-11-10,0600,T,98,6.0NRT,277.8,28.9,N
36.218,-118.581,324.5,1,1,2018-11-10,0600,T,66,6.0NRT,277.1,25.3,N
36.233,-118.607,311.3,1,1,2018-11-10,0600,T,16,6.0NRT,277.6,13.3,N
36.229,-118.629,321.5,1,1,2018-11-10,0600,T,100,6.0NRT,281.7,22.5,N
36.228,-118.64,322.9,1,1,2018-11-10,0600,T,100,6.0NRT,281.6,23.9,N
36.408,-118.737,303.3,1,1,2018-11-10,0600,T,54,6.0NRT,279.3,9.3,N
39.694,-121.475,347.9,1,1,2018-11-10,0600,T,62,6.0NRT,287.5,60.9,N
39.692,-121.488,366.5,1,1,2018-11-10,0600,T,100,6.0NRT,287.6,111.5,N
39.69,-121.5,337.8,1,1,2018-11-10,0600,T,97,6.0NRT,282.5,42.5,N
39.703,-121.471,368.4,1,1,2018-11-10,0600,T,100,6.0NRT,287.8,118.5,N
39.701,-121.483,383.9,1,1,2018-11-10,0600,T,100,6.0NRT,290,180.6,N
39.699,-121.495,376.1,1,1,2018-11-10,0600,T,100,6.0NRT,289,146.7,N
39.697,-121.507,407.4,1,1,2018-11-10,0600,T,100,6.0NRT,299.3,321.9,N
39.695,-121.519,349.8,1,1,2018-11-10,0600,T,100,6.0NRT,282.8,67,N
39.687,-121.568,328.5,1.1,1,2018-11-10,0600,T,100,6.0NRT,280.1,32.8,N
39.686,-121.58,309.7,1.1,1,2018-11-10,0600,T,78,6.0NRT,278.4,13.8,N
39.714,-121.462,320.3,1,1,2018-11-10,0600,T,0,6.0NRT,281.2,19.3,N
39.712,-121.474,321.6,1,1,2018-11-10,0600,T,0,6.0NRT,280.2,20.2,N
39.706,-121.51,325,1,1,2018-11-10,0600,T,99,6.0NRT,279.6,24.9,N
39.704,-121.521,311,1,1,2018-11-10,0600,T,18,6.0NRT,278.8,11.7,N
39.723,-121.464,370.1,1,1,2018-11-10,0600,T,100,6.0NRT,286.4,124.4,N
39.721,-121.476,324.2,1,1,2018-11-10,0600,T,46,6.0NRT,279.9,21.6,N
39.734,-121.454,333.2,1,1,2018-11-10,0600,T,100,6.0NRT,285,36.9,N
39.743,-121.456,332.6,1,1,2018-11-10,0600,T,100,6.0NRT,284.5,35.5,N
39.752,-121.459,333.3,1,1,2018-11-10,0600,T,100,6.0NRT,285.2,36.1,N
39.75,-121.472,320.4,1,1,2018-11-10,0600,T,78,6.0NRT,283.4,19.7,N
39.761,-121.462,318.2,1,1,2018-11-10,0600,T,83,6.0NRT,284.4,18.5,N
39.772,-121.452,309.8,1,1,2018-11-10,0600,T,78,6.0NRT,283.4,12.7,N
39.77,-121.464,301.6,1,1,2018-11-10,0600,T,33,6.0NRT,282.3,7.3,N
39.822,-121.422,307.7,1,1,2018-11-10,0600,T,72,6.0NRT,282.4,12.1,N
39.82,-121.434,302.1,1,1,2018-11-10,0600,T,46,6.0NRT,283.8,8.3,N
39.831,-121.425,325.9,1,1,2018-11-10,0600,T,100,6.0NRT,281.7,28.3,N
39.83,-121.436,363.4,1,1,2018-11-10,0600,T,100,6.0NRT,285.6,104.5,N
39.828,-121.448,374.4,1,1,2018-11-10,0600,T,100,6.0NRT,286.8,142.3,N
39.826,-121.459,347.7,1,1,2018-11-10,0600,T,100,6.0NRT,285.7,63.9,N
39.793,-121.666,306.5,1.1,1,2018-11-10,0600,T,45,6.0NRT,283.7,10,N
39.791,-121.678,304.6,1.1,1,2018-11-10,0600,T,52,6.0NRT,283.2,9.2,N
39.789,-121.69,304.3,1.1,1,2018-11-10,0600,T,38,6.0NRT,283.3,9,N
39.787,-121.702,300.9,1.1,1,2018-11-10,0600,T,34,6.0NRT,282.2,7.3,N
39.81,-121.619,325.2,1.1,1,2018-11-10,0600,T,59,6.0NRT,287.9,24.8,N
39.808,-121.631,323,1.1,1,2018-11-10,0600,T,53,6.0NRT,286.7,22.7,N
39.842,-121.476,301.1,1,1,2018-11-10,0600,T,9,6.0NRT,278.2,7.3,N
39.84,-121.488,343,1,1,2018-11-10,0600,T,100,6.0NRT,283.3,55,N
39.821,-121.609,319.4,1.1,1,2018-11-10,0600,T,31,6.0NRT,285.9,18.4,N
39.849,-121.491,332.2,1,1,2018-11-10,0600,T,100,6.0NRT,282.2,36.7,N
39.854,-121.518,344.8,1,1,2018-11-10,0600,T,100,6.0NRT,285.2,58.6,N
39.852,-121.53,330.1,1,1,2018-11-10,0600,T,100,6.0NRT,285.1,33.6,N
39.85,-121.542,328.3,1,1,2018-11-10,0600,T,100,6.0NRT,285.9,30.5,N
39.848,-121.554,311.1,1,1,2018-11-10,0600,T,56,6.0NRT,284.4,12.4,N
39.845,-121.578,312.7,1.1,1,2018-11-10,0600,T,35,6.0NRT,284,13.5,N
39.859,-121.545,326.6,1,1,2018-11-10,0600,T,100,6.0NRT,283.3,28.7,N
39.857,-121.556,324.9,1,1,2018-11-10,0600,T,100,6.0NRT,283.5,26.3,N
42.623,-124.315,307.8,1.2,1.1,2018-11-10,0600,T,73,6.0NRT,281.6,14.6,N
42.847,-124.406,301.6,1.2,1.1,2018-11-10,0600,T,42,6.0NRT,278,10.8,N
47.56,-117.002,305.9,1.4,1.2,2018-11-10,0600,T,66,6.0NRT,268.3,20.7,N
48.691,-124.334,302,1,1,2018-11-10,0600,T,46,6.0NRT,274.4,9.9,N
49.081,-124.637,321.3,1,1,2018-11-10,0600,T,100,6.0NRT,274.2,25.2,N
49.711,-120.952,300.8,1.1,1,2018-11-10,0600,T,33,6.0NRT,267.2,10.6,N
49.709,-120.966,302.1,1.1,1,2018-11-10,0600,T,47,6.0NRT,267.8,11.4,N
19.559,-92.22,306.6,4.7,2,2018-11-10,0840,A,39,6.0NRT,289.3,68.4,N
17.932,-102.208,309.9,1.1,1,2018-11-10,0840,A,79,6.0NRT,293.9,8.6,N
17.93,-102.198,306.9,1.1,1,2018-11-10,0840,A,70,6.0NRT,293.6,6.4,N
46.68,-116.241,305.6,1.2,1.1,2018-11-10,1010,A,65,6.0NRT,271.3,16.9,N
45.443,-123.893,300.4,1.1,1.1,2018-11-10,1010,A,27,6.0NRT,276.5,9.7,N
42.629,-124.311,334.6,1.1,1,2018-11-10,1010,A,100,6.0NRT,281.6,43.7,N
39.864,-121.549,309.6,1,1,2018-11-10,1010,A,54,6.0NRT,279.6,12.4,N
39.862,-121.537,321.2,1,1,2018-11-10,1010,A,100,6.0NRT,281.9,22.5,N
39.861,-121.526,336.1,1,1,2018-11-10,1010,A,100,6.0NRT,282.5,41.3,N
39.859,-121.514,330.4,1,1,2018-11-10,1010,A,100,6.0NRT,282.5,33.4,N
39.855,-121.491,308.7,1,1,2018-11-10,1010,A,75,6.0NRT,280.6,12.3,N
39.853,-121.479,311,1,1,2018-11-10,1010,A,81,6.0NRT,277.7,14.3,N
39.855,-121.552,314.9,1,1,2018-11-10,1010,A,36,6.0NRT,282.8,15.2,N
39.853,-121.54,323.4,1,1,2018-11-10,1010,A,92,6.0NRT,284.1,23.6,N
39.852,-121.528,328.8,1,1,2018-11-10,1010,A,100,6.0NRT,283.8,30.9,N
39.846,-121.493,318,1,1,2018-11-10,1010,A,87,6.0NRT,281.2,19.2,N
39.844,-121.482,356.3,1,1,2018-11-10,1010,A,100,6.0NRT,284.6,83.8,N
39.836,-121.434,301.5,1,1,2018-11-10,1010,A,42,6.0NRT,278.7,8.7,N
39.834,-121.421,319.2,1,1,2018-11-10,1010,A,98,6.0NRT,279.5,22.2,N
39.831,-121.46,333.6,1,1,2018-11-10,1010,A,100,6.0NRT,281.7,39,N
39.829,-121.448,372.7,1,1,2018-11-10,1010,A,100,6.0NRT,287.6,135.7,N
39.827,-121.436,361,1,1,2018-11-10,1010,A,100,6.0NRT,286.6,97.4,N
39.825,-121.423,313.3,1,1,2018-11-10,1010,A,87,6.0NRT,281.7,16.3,N
39.776,-121.456,314.5,1,1,2018-11-10,1010,A,89,6.0NRT,281.4,16.6,N
39.794,-121.685,319.4,1,1,2018-11-10,1010,A,98,6.0NRT,283.7,20.8,N
39.792,-121.673,305.2,1,1,2018-11-10,1010,A,39,6.0NRT,282.3,9.1,N
39.79,-121.661,311.8,1,1,2018-11-10,1010,A,67,6.0NRT,282.9,13.4,N
39.758,-121.46,326.4,1,1,2018-11-10,1010,A,100,6.0NRT,284.7,27.5,N
39.747,-121.452,349.1,1,1,2018-11-10,1010,A,100,6.0NRT,286.3,65.6,N
39.738,-121.454,319.3,1,1,2018-11-10,1010,A,53,6.0NRT,283.3,18.7,N
39.736,-121.442,324.2,1,1,2018-11-10,1010,A,61,6.0NRT,283.8,24.6,N
39.729,-121.456,318.6,1,1,2018-11-10,1010,A,66,6.0NRT,283.3,18.3,N
39.72,-121.458,319.1,1,1,2018-11-10,1010,A,77,6.0NRT,282.3,18.5,N
39.712,-121.465,360.9,1,1,2018-11-10,1010,A,100,6.0NRT,287,95.7,N
39.711,-121.454,342.8,1,1,2018-11-10,1010,A,100,6.0NRT,285.4,53.4,N
39.704,-121.468,344.8,1,1,2018-11-10,1010,A,100,6.0NRT,286.1,57.6,N
39.702,-121.457,308.4,1,1,2018-11-10,1010,A,74,6.0NRT,280.7,12.2,N
39.7,-121.506,361,1,1,2018-11-10,1010,A,100,6.0NRT,293.2,95.1,N
39.698,-121.494,369,1,1,2018-11-10,1010,A,100,6.0NRT,294.6,119.5,N
39.696,-121.482,379.2,1,1,2018-11-10,1010,A,100,6.0NRT,295,158,N
39.695,-121.471,353.4,1,1,2018-11-10,1010,A,100,6.0NRT,288.7,74.7,N
39.693,-121.52,310,1,1,2018-11-10,1010,A,53,6.0NRT,282.1,11.6,N
39.691,-121.508,358.6,1,1,2018-11-10,1010,A,100,6.0NRT,288.5,88.2,N
39.689,-121.496,338.6,1,1,2018-11-10,1010,A,100,6.0NRT,286.4,44.5,N
39.687,-121.485,320.5,1,1,2018-11-10,1010,A,42,6.0NRT,283.8,20,N
39.692,-121.57,301.7,1,1,2018-11-10,1010,A,22,6.0NRT,281.7,7.1,N
39.681,-121.56,302.5,1,1,2018-11-10,1010,A,50,6.0NRT,281.3,7.8,N
36.22,-118.558,301.2,1.5,1.2,2018-11-10,1015,A,9,6.0NRT,275.4,15.3,N
36.23,-118.628,309.3,1.5,1.2,2018-11-10,1015,A,77,6.0NRT,280.3,23.4,N
36.222,-118.582,303.6,1.5,1.2,2018-11-10,1015,A,35,6.0NRT,275.1,17,N
36.218,-118.565,315.7,1.5,1.2,2018-11-10,1015,A,92,6.0NRT,276.6,34.7,N
34.197,-118.663,302.3,1.7,1.3,2018-11-10,1015,A,48,6.0NRT,279.2,18.4,N
34.135,-118.704,304.2,1.7,1.3,2018-11-10,1015,A,59,6.0NRT,278.7,19.5,N
34.124,-118.707,332.4,1.7,1.3,2018-11-10,1015,A,100,6.0NRT,283.1,74.4,N
34.078,-118.709,319.2,1.7,1.3,2018-11-10,1015,A,52,6.0NRT,289.7,37.3,N
34.112,-118.942,320.4,1.6,1.3,2018-11-10,1015,A,100,6.0NRT,286.2,39.5,N
34.109,-118.924,360,1.6,1.3,2018-11-10,1015,A,100,6.0NRT,289.5,179.2,N
34.048,-118.735,322.5,1.7,1.3,2018-11-10,1015,A,34,6.0NRT,291.2,37.6,N
34.045,-118.718,336.8,1.7,1.3,2018-11-10,1015,A,78,6.0NRT,292.2,75.3,N
34.037,-118.737,330.7,1.7,1.3,2018-11-10,1015,A,75,6.0NRT,292.7,59.5,N
34.965,-78.184,308.3,1.4,1.2,2018-11-10,1620,T,67,6.0NRT,287.4,15.2,D
33.835,-81.205,304.1,1.1,1,2018-11-10,1620,T,58,6.0NRT,288.8,6.9,D
33.059,-86.901,300.9,1.3,1.1,2018-11-10,1620,T,43,6.0NRT,282.4,9.7,D
31.54,-82.195,300.1,1,1,2018-11-10,1625,T,22,6.0NRT,287.7,2.8,D
31.418,-82.772,303.9,1,1,2018-11-10,1625,T,52,6.0NRT,287.4,6.2,D
31.096,-83.203,301.5,1,1,2018-11-10,1625,T,47,6.0NRT,288.6,4.2,D
30.763,-82.141,308.7,1.1,1,2018-11-10,1625,T,67,6.0NRT,289.7,9.1,D
30.761,-82.13,303,1.1,1,2018-11-10,1625,T,54,6.0NRT,290.1,5.1,D
30.393,-84.956,305.2,1,1,2018-11-10,1625,T,61,6.0NRT,285.2,7.2,D
27.299,-80.557,311,1.4,1.2,2018-11-10,1625,T,55,6.0NRT,296.7,7,D
27.026,-81.057,311.6,1.3,1.1,2018-11-10,1625,T,57,6.0NRT,295.5,7.7,D
26.802,-80.553,323.4,1.4,1.2,2018-11-10,1625,T,77,6.0NRT,297.1,24.5,D
26.799,-80.539,357.7,1.4,1.2,2018-11-10,1625,T,99,6.0NRT,298.5,124.5,D
26.797,-80.525,314.3,1.4,1.2,2018-11-10,1625,T,12,6.0NRT,297.1,10.9,D
26.865,-81.743,311.6,1.2,1.1,2018-11-10,1625,T,51,6.0NRT,297.7,6.7,D
26.691,-80.79,359.7,1.4,1.2,2018-11-10,1625,T,86,6.0NRT,298.3,126.7,D
26.485,-80.917,338.6,1.4,1.2,2018-11-10,1625,T,89,6.0NRT,296.3,54.7,D
26.475,-80.919,336.6,1.4,1.2,2018-11-10,1625,T,88,6.0NRT,294.1,50,D
26.479,-80.924,336.7,1.4,1.2,2018-11-10,1625,T,88,6.0NRT,296.7,50.6,D
19.571,-92.245,314.7,1.8,1.3,2018-11-10,1625,T,62,6.0NRT,293.8,23.3,D
19.569,-92.227,314.8,1.8,1.3,2018-11-10,1625,T,62,6.0NRT,293.5,23.5,D
17.895,-93.187,321.2,2,1.4,2018-11-10,1625,T,75,6.0NRT,292.6,37.6,D
18.922,-70.355,333,1.2,1.1,2018-11-10,1755,A,87,6.0NRT,296.9,33.8,D
19.176,-70.281,318.6,1.1,1.1,2018-11-10,1755,A,51,6.0NRT,300.5,10.3,D
26.732,-80.528,326.9,3.9,1.8,2018-11-10,1755,A,80,6.0NRT,293.2,150.6,D
26.738,-80.533,327.7,3.9,1.8,2018-11-10,1755,A,81,6.0NRT,293.2,156.2,D
42.68,-111.583,303.7,1.7,1.3,2018-11-10,1800,T,40,6.0NRT,272.9,18,D
34.443,-94.943,300.6,4.4,1.9,2018-11-10,1800,T,39,6.0NRT,280.5,62.3,D
35.962,-101.812,303.5,1.5,1.2,2018-11-10,1800,T,56,6.0NRT,287,9.3,D
35.96,-101.819,303.9,1.5,1.2,2018-11-10,1800,T,57,6.0NRT,287.2,10.3,D
34.116,-118.963,309.4,3.8,1.8,2018-11-10,1800,T,22,6.0NRT,296.2,30.4,D
33.423,-110.871,316.3,1.2,1.1,2018-11-10,1800,T,73,6.0NRT,292.8,14.9,D
33.421,-110.859,319.8,1.2,1.1,2018-11-10,1800,T,77,6.0NRT,293,18.7,D
34.097,-118.924,334.1,3.8,1.8,2018-11-10,1800,T,87,6.0NRT,299.4,201.7,D
33.413,-110.873,325.4,1.2,1.1,2018-11-10,1800,T,82,6.0NRT,293.5,24.7,D
33.412,-110.86,333.4,1.2,1.1,2018-11-10,1800,T,87,6.0NRT,293.9,37.3,D
34.107,-118.928,354.2,3.8,1.8,2018-11-10,1800,T,97,6.0NRT,298.7,464.9,D
30.714,-106.375,312.1,1.1,1,2018-11-10,1800,T,61,6.0NRT,299,6.1,D
30.712,-106.364,315.3,1.1,1,2018-11-10,1800,T,68,6.0NRT,297.9,9.4,D
30.905,-108.488,312.6,1,1,2018-11-10,1800,T,64,6.0NRT,296.6,6,D
30.72,-109.052,327.1,1,1,2018-11-10,1800,T,83,6.0NRT,298.5,20.9,D
30.368,-107.626,313.4,1,1,2018-11-10,1800,T,64,6.0NRT,300.5,5.7,D
30.613,-115.44,314.5,2,1.4,2018-11-10,1800,T,50,6.0NRT,299.6,18.4,D
30.611,-115.418,317.5,2,1.4,2018-11-10,1800,T,61,6.0NRT,299.6,27.1,D
30.609,-115.426,320.8,2,1.4,2018-11-10,1800,T,73,6.0NRT,299.8,36.5,D
28.686,-109.395,317.6,1,1,2018-11-10,1800,T,73,6.0NRT,299.5,12,D
23.778,-105.364,302.2,1.6,1.2,2018-11-10,1805,T,39,6.0NRT,290.1,8.2,D
49.531,-119.223,300.1,1.7,1.3,2018-11-10,1935,T,19,6.0NRT,268,16.3,D
49.347,-119.854,301.1,1.6,1.3,2018-11-10,1935,T,0,6.0NRT,270,16,D
49.348,-119.859,301,1.6,1.3,2018-11-10,1935,T,0,6.0NRT,268.5,14.4,D
49.333,-119.843,305,1.6,1.3,2018-11-10,1935,T,50,6.0NRT,269.2,19.5,D
49.862,-123.142,300.8,1.2,1.1,2018-11-10,1935,T,41,6.0NRT,276.5,10.2,D
49.86,-123.128,301.5,1.2,1.1,2018-11-10,1935,T,47,6.0NRT,274.3,10.9,D
46.778,-123.834,301.1,1.3,1.1,2018-11-10,1935,T,45,6.0NRT,280.1,9.8,D
42.854,-124.4,321.4,1.4,1.2,2018-11-10,1935,T,81,6.0NRT,282.2,37.1,D
42.844,-124.403,325.2,1.4,1.2,2018-11-10,1935,T,84,6.0NRT,283.5,41.7,D
42.626,-124.311,321.6,1.4,1.2,2018-11-10,1935,T,81,6.0NRT,286.7,35.8,D
42.616,-124.315,311.6,1.4,1.2,2018-11-10,1935,T,71,6.0NRT,286.5,19.6,D
39.844,-121.477,365.4,2.4,1.5,2018-11-10,1940,T,94,6.0NRT,290.1,371.9,D
39.83,-121.415,307.6,2.5,1.5,2018-11-10,1940,T,39,6.0NRT,285.8,32.3,D
39.849,-121.48,349,2.4,1.5,2018-11-10,1940,T,69,6.0NRT,289.2,205.8,D
39.822,-121.423,314.2,2.5,1.5,2018-11-10,1940,T,51,6.0NRT,286,48.1,D
39.8,-121.693,309.7,2.4,1.5,2018-11-10,1940,T,67,6.0NRT,289.5,31.9,D
39.793,-121.665,316.9,2.4,1.5,2018-11-10,1940,T,77,6.0NRT,289,52.4,D
39.744,-121.455,311.1,2.5,1.5,2018-11-10,1940,T,62,6.0NRT,285.6,39.5,D
39.787,-121.697,334.8,2.4,1.5,2018-11-10,1940,T,89,6.0NRT,290.6,121.5,D
39.75,-121.458,313.1,2.5,1.5,2018-11-10,1940,T,47,6.0NRT,286.1,41.5,D
39.791,-121.702,331.8,2.4,1.5,2018-11-10,1940,T,88,6.0NRT,290.6,106.7,D
39.785,-121.676,328.9,2.4,1.5,2018-11-10,1940,T,86,6.0NRT,289.7,94.2,D
36.214,-118.574,300.4,4.6,2,2018-11-10,1940,T,35,6.0NRT,281.9,56.4,D
17.735,-91.815,317.3,1,1,2018-11-10,1930,A,66,6.0NRT,300.8,7.3,D
17.842,-93.12,350.4,1,1,2018-11-10,1930,A,95,6.0NRT,297.9,57.4,D
17.84,-93.129,316.2,1,1,2018-11-10,1930,A,62,6.0NRT,297.4,7.2,D
18.4,-90.861,337.9,1.1,1,2018-11-10,1930,A,89,6.0NRT,299.9,38.1,D
19.829,-89.754,314.2,1.2,1.1,2018-11-10,1930,A,48,6.0NRT,297.7,9.7,D
19.562,-92.239,330.3,1,1,2018-11-10,1930,A,78,6.0NRT,296,26.3,D
19.6,-92.294,311.9,1,1,2018-11-10,1930,A,52,6.0NRT,295.7,7.6,D
